School Code,School Name,Framework,Overall PMF Score 2014,PMF Tier 2014,Student Growth (MGP) in  Reading 2014,Student Growth (MGP) in Math 2014,Elementary 2014 DC CAS Reading Proficient and Advanced,Elementary 2014 DC CAS Math Proficient and Advanced,Elementary DC CAS Reading Advanced Only 2014,Elementary DC CAS Math Advanced Only 2014,Middle DC CAS Reading Proficient and Advanced 2014,Middle DC CAS Math Proficient and Advanced 2014,Middle DC CAS Reading Advanced Only 2014,Middle DC CAS Math Advanced Only 2014,3rd Grade Reading Proficient and Advanced 2014,8th Grade Math Proficient and Advanced 2014,Elementary and Middle Attendance 2014,Elementary and Middle Re-enrollment 2014
116,KIPP DC Ð AIM Academy PCS,MS,79.3,1,58,70.9,N/A,N/A,N/A,N/A,56.8,69.2,6.7,26.7,N/A,94.5,93.9,90.1
121,KIPP DC Ð WILL Academy PCS,ESMS,73.2,1,55.9,73.6,51.7,57.0,5.3,15.9,56.9,82.1,13.3,36.2,N/A,77.1,95.5,86.2
189,KIPP DC Ð KEY Academy PCS,MS,89.1,1,64.5,72,N/A,N/A,N/A,N/A,73.1,86.9,11.3,33.9,N/A,97.1,94.2,92.7
1121,KIPP DC Ð Promise Academy PCS,ES,77,1,70.1,75.8,52.5,75.8,0.2,28.3,N/A,N/A,N/A,N/A,40.8,N/A,95.2,90.8
193,Latin American Montessori Bilingual PCS,ES,75,1,65.7,66.9,73.2,69.6,1.2,17.9,N/A,N/A,N/A,N/A,68.8,N/A,96.9,72.7
135,Mary McLeod Bethune Day Academy PCS,ESMS,55.3,2,51.3,52.2,37.9,32.1,0.0,2.7,50.9,63.5,8.8,6.3,25.0,100.0,95.9,89.6
165,Meridian PCS,ESMS,45.6,2,44,40.8,37.5,42.4,1.3,8.6,57.7,62.9,4.8,9.5,34.9,78.6,94.3,89.3
169,Options PCS,MS,15.4,N/A,41.6,39.2,N/A,N/A,N/A,N/A,10.8,10.8,0.0,0.0,N/A,9.7,80.4,75.3
170,Paul PCS Ð Middle School,MS,17.4,3,0,0,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,N/A,0.0,92.8,82.5
161,Perry Street Preparatory PCS,ESMS,40.7,2,43.8,50,36.3,43.5,1.1,2.2,47.4,55.4,1.1,7.4,39.4,63.4,90.9,75.8
117,Potomac Preparatory PCS,ESMS,35.3,2,43.6,49.3,28.2,32.9,1.2,8.2,54.2,58.3,4.2,9.7,18.9,70.6,89.3,68.9
173,Roots PCS,ESMS,26.1,3,36.9,26,46.2,26.9,11.5,0.0,30.0,60.0,0.0,10.0,N/A,N/A,92.8,74.2
174,"SEED PCS of Washington, DC",MS,42.6,2,36.1,42.9,N/A,N/A,N/A,N/A,34.5,58.0,3.1,6.6,N/A,77.4,93.1,87.6
187,Somerset Preparatory Academy PCS,MS,N/A,N/A,58,38,N/A,N/A,N/A,N/A,38.4,41.1,0.7,3.4,N/A,60.0,89.1,N/A
183,Tree of Life PCS,ESMS,31.1,3,44.5,41.7,37.3,35.8,1.5,3.0,25.5,45.5,3.6,7.3,19.0,53.3,95.1,71
198,Two Rivers PCS,ESMS,67.6,1,54.6,51.2,70.3,66.2,15.9,23.4,64.7,72.8,11.8,17.6,67.4,88.1,95.3,91.4
125,Washington Latin PCS Ð Middle School,MS,59.4,2,42.8,39.8,N/A,N/A,N/A,N/A,78.7,77.1,21.5,30.7,N/A,81.1,96.6,96
1117,Washington Yu Ying PCS,ES,71.4,1,55.2,59.9,68.9,80.8,0.8,35.3,N/A,N/A,N/A,N/A,57.9,N/A,97,95.7
210,"William E. Doar, Jr. PCS for the Performing Arts",ESMS,47.6,2,44.4,55.6,41.7,52.2,1.7,7.0,52.2,62.3,2.9,14.5,40.5,66.7,93,74.1
