School Information,,,,Demographics,,,,,,,,,,,,Student Progress,,,Student Achievement,,,,,Gateway,,,,,,,,,School Environment,,,,,,,,,
School Code,School Name,Framework,School Ward,Asian (%),Black / African American (%),Hispanic (%),Multiracial (%),Native American (%),Pacific Islander / Native Hawaiian (%),White (%),At Risk (%),Economically Disadvantaged (%)*,ELL (%),SPED (%),Audited Enrollment (#),Assessment,"Math
 (%)",Reading  (%),Assessment,ELA Levels 3+ (%),ELA Levels 4+ (%),Math Levels 3+ (%),Math Levels 4+ (%),Gateway: 3rd Grade ELA Levels 3+ (%),Gateway: 8th Grade Math Levels 3+ (%),AP / IB / Dual Enrollment  (%),College Acceptance Rate (%),2015 5-Year Graduation Rate (%),2014 4-Year Graduation Rate (%),9th Grade on Track (%),PSAT Performance (%),SAT Performance (%),Attendance (ISA) (%),Reenrollment Rate (%),CLASS: Emotional Support (%),CLASS: Classroom Organization (%),CLASS: Instructional Support (%),9th Grade on Track (%),,,,
1108,Center City PCS Ð Trinidad,EC/ES/MS,5,0.0,97.9,1.7,0.4,0.0,0.0,0.0,57.6,100.0,1.7,11.9,236,PARCC,47.9,39.0,PARCC,30.2,10.7,38.9,11.4,42.1,23.5,,,,,,,,91.0,83.2,5.1,5.3,2.9,,,,,
153,CŽsar Ch‡vez PCS for Public Policy Ð Capitol Hill,HS,6,0.0,81.3,18.7,0.0,0.0,0.0,0.0,65.1,100.0,5.9,21.6,358,,,,PARCC,53.8,30.8,21.3,0.0,,,52.6,100.0,80.4,66.1,78.7,24.6,35.1,87.3,70.9,,,,78.7,,,,
127,CŽsar Ch‡vez PCS for Public Policy Ð Ch‡vez Prep,EC/ES/MS,1,1.5,26.0,71.9,0.0,0.0,0.0,0.6,53.5,100.0,28.4,16.3,331,PARCC,45.2,45.1,PARCC,41.0,13.4,40.0,13.6,,50.6,,,,,,,,92.2,91.6,,,,,,,,
109,CŽsar Ch‡vez PCS for Public Policy Ð Parkside High School,HS,7,0.0,91.0,8.4,0.0,0.0,0.3,0.3,65.2,100.0,2.0,13.2,356,,,,PARCC,38.4,8.1,27.1,1.2,,,17.2,96.9,77.6,68.2,83.8,25.0,51.6,85.3,76.9,,,,83.8,,,,
102,CŽsar Ch‡vez PCS for Public Policy Ð Parkside Middle School,EC/ES/MS,7,0.0,96.4,3.6,0.0,0.0,0.0,0.0,69.0,100.0,2.6,15.8,303,PARCC,49.9,41.7,PARCC,26.9,6.0,31.2,5.3,,28.9,,,,,,,,90.2,73.1,,,,,,,,
3069,Creative Minds International PCS,EC/ES/MS,5,7.7,32.6,13.8,0.0,0.6,0.0,45.3,12.2,22.7,5.5,33.7,181,PARCC,75.5,52.5,PARCC,65.4,38.5,57.7,26.9,60.0,,,,,,,,,94.8,87.3,6.1,5.5,2.8,,,,,
199,DC Bilingual PCS,EC/ES/MS,5,0.3,10.4,81.3,0.0,0.3,0.0,7.7,38.2,100.0,49.5,19.2,364,PARCC,52.4,56.4,PARCC,65.2,32.6,64.4,27.3,75.8,,,,,,,,,94.8,92.1,6.1,5.9,2.4,,,,,
1110,DC Prep PCS Ð Benning Elementary,EC/ES/MS,7,0.0,95.2,2.5,2.3,0.0,0.0,0.0,55.4,100.0,1.8,7.9,442,NWEA,89.6,56.1,PARCC,68.7,37.3,74.6,41.8,70.5,,,,,,,,,94.3,88.7,5.5,5.1,2.6,,,,,
218,DC Prep PCS Ð Benning Middle,EC/ES/MS,7,0.7,91.4,3.9,3.9,0.0,0.0,0.0,46.1,64.5,0.7,19.7,152,PARCC,71.8,57.0,PARCC,70.5,25.3,82.9,52.7,,,,,,,,,,93.6,90.4,,,,,,,,
130,DC Prep PCS Ð Edgewood Elementary,EC/ES/MS,5,0.2,85.4,8.6,5.1,0.0,0.0,0.7,50.0,77.8,4.6,10.2,432,NWEA,88.7,47.1,PARCC,88.1,64.2,88.1,56.7,86.4,,,,,,,,,94.9,90.4,5.8,5.7,3.0,,,,,
